Person;Number of views last 30 days;Number of videos last 30 days;Youtube Channel;Language
Squeezie;58487594;6;SQUEEZIE;FR
Frédéric Molas;6684053;2;Joueur Du Grenier;FR
Joyca;19376606;4;JOYCA;FR
Cyprien Iov;11048665;2;CYPRIEN;FR
Vérino;1080691;6;Vérino;FR
Kheiron;2778081;6;Kheiron;FR
Mister V;5756265;2;Mister V;FR
EnjoyPhoenix;712552;3;EnjoyPhoenix;FR
Maghla;755309;2;Maghla;FR
Seb la Frite ;3603975;2;SEB;FR
Pierre Croce ;6993780;6;Pierre Croce;FR
Gotaga;12180590;18;GOTAGA;FR
Ponce;728445;8;Ponce;FR
Amixem;36936647;7;Amixem;FR
Michou;5873504;4;Michou;FR
Tibo InShape;53324898;5;Tibo InShape;FR
Julien Donzé;4511361;3;LE GRAND JD;FR
Gronkh;13113679;68;Gronkh;DE
PewDiePie;205126769;5;PewDiePie;EN
Thomas George Cassell;1401698;4;Life of Tom;EN
Joseph Garrett;8346378;5;stampylonghead;EN
Daniel Howell;2099136;4;Daniel Howell;EN
KSI;40714812;9;JJ Olatunji;EN
Dr Nozman;11862069;5;Dr Nozman;FR
Rivenzi;59775;7;Rivenzi;FR
Vilebrequin;15269555;5;Vilebrequin;FR
Domingo;6806700;3;Domingo;FR
Etoiles;1222308;12;Etoiles;FR
ZeratoR;1427238;6;ZeratoR;FR
Zoe Sugg;11577368;21;Zoella;EN
Phil Laude;3637376;4;Phil Laude;DE
Mirko Drotschmann;2496003;4;MrWissen2go;DE
Sébastien Cauet;4140311;10;Cauet;FR
Hugo Travers ;2288197;3;HugoDécrypte;FR
Jacksepticeye;90476309;16;jacksepticeye;EN
Léna Mahfouf;1508687;1;Léna Situations;FR
Sheshounet;3255910;2;Sheshounet;FR
MisterJDay;420382;1;MisterJDay;FR
Bob Lennon;2598541;16;Bob Lennon;FR
Kameto;2763531;8;Kameto;FR
